CSV ID,GreatWalk,Map icon name,Plotted on app,Action,Description,Longitude,Latitude,New Longitude,New Latitude,POIIconType,Reviewed,Comments
111,TongariroNorthernCircuit,Red Crater,Yes,,,175.651,-39.1366,175.651207,-39.134835,Feature,Andrew Evans,Okay
112,TongariroNorthernCircuit,Emerald Lakes,Yes,Check co-ordinates,,175.655,-39.134,175.655207,-39.132235,Feature,Andrew Evans,New coordinate
113,TongariroNorthernCircuit,Tongariro National Park Visitor Centre,Yes,Check co-ordinates,,175.54,-39.2016,175.540207,-39.199836,VisitorCentre,Andrew Evans,New coordinate
114,TongariroNorthernCircuit,Whakapapa Holiday Park,Yes,Change map icon name and check co-ordinates,,175.54,-39.2028,175.540207,-39.201037,Campsite,Andrew Evans,Okay
115,TongariroNorthernCircuit,Ketetahi Roadend Shelter,Yes,,,175.662,-39.0761,175.662206,-39.074334,Shelter,Andrew Evans,New coordinate
116,TongariroNorthernCircuit,Waihohonu Campsite,Yes,Remove - combine with CSV ID 103 ,,175.683,-39.2101,175.683208,-39.208336,Campsite,Andrew Evans,Cannot locate
,,,,,,,,,,,,
50,WhanganuiJourney,The river Drop Scene **What's that? Needs explanation or else remove,Yes,Remove,,175.015937,-39.434377,175.016144,-39.432618,Generic POI,Andrew Evans,Okay
51,WhanganuiJourney,Visit riverside villages by canoe i.e. Whakahoro & Pipiriki **Shouldn't these be actual markers on these villages instead? seems a bit useless in this current format,Yes,Remove,,175.046911,-39.479861,175.047119,-39.478103,Generic POI,Andrew Evans,Okay
80,WhanganuiJourney,Bridge to Nowhere,Yes,Change map icon name and check co-ordinates,"Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.",174.974416,-39.278407,174.974622,-39.276647,Side trip,Andrew Evans,New coordinate
81,WhanganuiJourney,Staying at Tieke Kainga,No,Remove,Enjoy a unique stay at Tieke Kainga on a marae that is also used as a Great Walks hut. Tieke was one of many old pa sites on the Whanganui River and has been revived as a kainga (village).,174.993106,-39.33747,174.993312,-39.33571,Historic site,Andrew Evans,New coordinate
117,WhanganuiJourney,Ohinepane Campsite,Yes,Check co-ordinates,,175.146,-38.9416,175.146203,-38.939834,Campsite,Andrew Evans,New coordinate
118,WhanganuiJourney,Poukaria Campsite,Yes,Check co-ordinates,,175.12,-38.9921,175.120203,-38.990335,Campsite,Andrew Evans,New coordinate
119,WhanganuiJourney,Mangapapa Campsite,Yes,Change map icon name and check coordinates,,174.999,-39.1295,174.999204,-39.127738,Campsite,Andrew Evans,New coordinate
120,WhanganuiJourney,John Coull Campsite,No,Combine with CSV ID 125,,174.914,-39.233,174.914205,-39.23124,Campsite,Andrew Evans,New coordinate
121,WhanganuiJourney,Maharanui Campsite,Yes,Check co-ordinates,,175.045,-39.0736,175.045203,-39.071837,Campsite,Andrew Evans,New coordinate
122,WhanganuiJourney,Whakahoro Campsite,Yes,Accessible by road,,175.071,-39.1092,175.071204,-39.107437,Campsite,Andrew Evans,New coordinate
123,WhanganuiJourney,Whakahoro Shelter,Yes,Remove,,175.07,-39.1088,175.070204,-39.107037,Shelter,Andrew Evans,New coordinate
124,WhanganuiJourney,Ohauora Campsite,Yes,Check co-ordinates,,174.959,-39.1711,174.959204,-39.169339,Campsite,Andrew Evans,New coordinate
125,WhanganuiJourney,John Coull Hut and Campsite,Yes,"Change map icon name, change icon to hut/campsite icon and check co-ordinates",,174.914,-39.2327,174.914205,-39.23094,Hut,Andrew Evans,New coordinate
126,WhanganuiJourney,Mangawaiiti Campsite,Yes,Check co-ordinates,,174.905,-39.2841,174.905206,-39.28234,Campsite,Andrew Evans,New coordinate
127,WhanganuiJourney,Mangapurua Campsite,Yes,Check co-ordinates,,174.967,-39.2807,174.967206,-39.27894,Campsite,Andrew Evans,New coordinate
128,WhanganuiJourney,Tieke Kainga and Campsite,Yes,Change map icon name and add description,Learn about the history of Tieke and the tikanga (protocol) of the marae.,174.993,-39.3375,174.993206,-39.33574,Camphut,Andrew Evans,New coordinate
129,WhanganuiJourney,Ngaporo Campsite,Yes,Check co-ordinates,,175.036,-39.4248,175.036207,-39.423041,Campsite,Andrew Evans,New coordinate
130,WhanganuiJourney,Ohura Falls,Yes,Check co-ordinates,,175.038,-39.0547,175.038203,-39.052937,Feature,Andrew Evans,Cannot locate
131,WhanganuiJourney,Manganui o te Ao,Yes,Change map icon name and check co-ordinates,,175.047,-39.4032,175.047207,-39.401441,Feature,Andrew Evans,New coordinate
,,,,,,,,,,,,
1,AbelTasmanCoastTrack,Falls River suspension bridge,Yes,Check co-ordinates,,173.048698,-40.928707,173.04887,-40.926959,Generic POI,Andrew Evans,New coordinate
2,AbelTasmanCoastTrack,Mutton Cove,Yes,Check co-ordinates,,172.99522,-40.787637,172.99539,-40.785885,Generic POI,Andrew Evans,Okay
3,AbelTasmanCoastTrack,Separation Point,No,"Add co-ordinates, add description and binoculars icon to map","From Mutton Cove a track leads to Separation Point, where fur seals breed. This track rejoins the main Coast Track at the saddle above Whariwharangi Bay (1 hour).",174.13903,-41.314438,174.139215,-41.312709,Natural feature,Andrew Evans,Okay
52,AbelTasmanCoastTrack,Cleopatras Pool,Yes,Check co-ordinates,"Swim at Cleopatras Pool, a natural rock pool with a moss-lined waterslide that is fit for a queen! From Torrent Bay estuary, a 20 minute walk takes you to this refreshing pool.",173.037096,-40.956148,173.037268,-40.954401,Swimming,Andrew Evans,New coordinate
53,AbelTasmanCoastTrack,Onetahuti Beach,Yes,Check co-ordinates,"Rest your weary walking feet at Onetahuti Beach. Shaped like a horse shoe it's one of the longest and most beautiful beaches in the park. Swim, snorkel or soak up the sunshine!",173.048404,-40.885308,173.048576,-40.883559,Swimming,Andrew Evans,Okay
54,AbelTasmanCoastTrack,Pitt Head,Yes,Check co-ordinates and amend description,"Enjoy a 1 hour 20 minute return trip from Anchorage Hut to reach Pitt Head, an old pa site, and enjoy great coastal views from Te Pukatea Bay.",173.067242,-40.948339,173.067414,-40.946592,Historic site,Andrew Evans,New coordinate
55,AbelTasmanCoastTrack,Tonga Island Marine Reserve,Yes,Check co-ordinates and amend description,"The third marine reserve to be created alongside a national park covering an area of 1835 hectares. Swimming, snorkelling and kayaking are popular activities.",173.066669,-40.890472,173.066841,-40.888723,Generic POI,Andrew Evans,New coordinate
132,AbelTasmanCoastTrack,Wainui Carpark Shelter,Yes,Check co-ordinates,,172.957,-40.8099,172.957169,-40.808148,Shelter,Andrew Evans,Cannot locate
133,AbelTasmanCoastTrack,Whariwharangi Hut and Campsite,Yes,"Change map icon name, amend description and check co-ordinates","Stay in an historic homestead, which is now a DOC hut.",172.974,-40.789,172.97417,-40.787248,Camphut,Andrew Evans,New coordinate
134,AbelTasmanCoastTrack,Mutton Cove Campsite,Yes,Check co-ordinates,,172.994,-40.791,172.99417,-40.789248,Campsite,Andrew Evans,New coordinate
135,AbelTasmanCoastTrack,Anapai Campsite,Yes,Check co-ordinates,,173.004,-40.8028,173.00417,-40.801049,Campsite,Andrew Evans,New coordinate
136,AbelTasmanCoastTrack,Totaranui Campsite,Yes,Check co-ordinates,,173.004,-40.8227,173.004171,-40.820949,Campsite,Andrew Evans,Okay
137,AbelTasmanCoastTrack,Waiharakeke campsite,Yes,Check co-ordinates,,173.016,-40.8493,173.016171,-40.84755,Campsite,Andrew Evans,New coordinate
138,AbelTasmanCoastTrack,Awaroa Hut and Campsite,Yes,Check co-ordinates,,173.018,-40.8652,173.018171,-40.86345,Camphut,Andrew Evans,New coordinate
139,AbelTasmanCoastTrack,Onetahuti Beach Campsite,Yes,Check co-ordinates,,173.047,-40.889,173.047172,-40.887251,Campsite,Andrew Evans,New coordinate
140,AbelTasmanCoastTrack,Bark Bay Hut,Yes,Check co-ordinates and replace hut/campsite icon with hut icon,,173.049,-40.9161,173.049172,-40.914352,Camphut,Andrew Evans,New coordinate
141,AbelTasmanCoastTrack,Tonga Quarry Campsite,Yes,Check co-ordinates,,173.051,-40.8943,173.051172,-40.892551,Campsite,Andrew Evans,New coordinate
142,AbelTasmanCoastTrack,Medlands Beach Campsite,Yes,Check co-ordinates,,173.055,-40.9209,173.055172,-40.919152,Campsite,Andrew Evans,New coordinate
143,AbelTasmanCoastTrack,Torrent Bay Village Campsite,Yes,Check co-ordinates,,173.046,-40.9475,173.046172,-40.945753,Campsite,Andrew Evans,New coordinate
144,AbelTasmanCoastTrack,Te Puketea Campsite,Yes,Check co-ordinates,,173.064,-40.9532,173.064172,-40.951453,Campsite,Andrew Evans,New coordinate
145,AbelTasmanCoastTrack,Anchorage Hut and Campsite,Yes,Check co-ordinates,,173.06,-40.9564,173.060172,-40.954653,Camphut,Andrew Evans,New coordinate
146,AbelTasmanCoastTrack,Watering Cove Campsite,Yes,Check co-ordinates,,173.056,-40.9638,173.056172,-40.962053,Campsite,Andrew Evans,New coordinate
147,AbelTasmanCoastTrack,Akersten Bay Campsite,Yes,Check co-ordinates,,173.047,-40.9721,173.047172,-40.970354,Campsite,Andrew Evans,New coordinate
148,AbelTasmanCoastTrack,Apple Tree Bay Campsite,Yes,Check co-ordinates,,173.038,-40.9823,173.038172,-40.980554,Campsite,Andrew Evans,New coordinate
149,AbelTasmanCoastTrack,Tinline campsite,Yes,Check co-ordinates,,173.025,-40.9885,173.025172,-40.986754,Campsite,Andrew Evans,New coordinate
150,AbelTasmanCoastTrack,Marahau Roadend Information Shelter,Yes,Check co-ordinates,,173.005,-40.996,173.005171,-40.994254,Shelter,Andrew Evans,New coordinate
151,AbelTasmanCoastTrack,Adele Island,Yes,Check co-ordinates,,173.06,-40.9792,173.060172,-40.977454,Feature,Andrew Evans,Okay
,,,,,,,,,,,,
NEW!,Heaphy Track,Lewis Rata,No,"Add co-ordinates, binocular map icon and description",Two giant Northern Rata across the river from the Lewis hut  You pass these walking either way . Thought to be the two biggest examples in NZ reach far above the surrounding forest like a (Leviathan of the deep) they appear without warning . Their woven vined trunks fused to form a colossus of wood. No doubt seen the arrival of Polynesians and Europeans to these shores.  Learn the story how thw Northern Rata starts life on a host tree ..Great photo spot.,,,172.1474,40.94205,Feature,,
NEW!,Heaphy Track,Heaphy Bridge ,No,"Add co-ordinates, binocular map icon and description",Completed in 2012 this magnificent structure replaces both the Lewis and old Heaphy bridges and is a great place to stop for photos!,,,172.1498,40.94135,Feature,,
4,HeaphyTrack,14 mile marker (one of the last original distance markers),Yes,Delete - can't find correct co-ordinates,,172.2273258,-40.88110473,172.227485,-40.879356,Historic site,Andrew Evans,Cannot locate
5,HeaphyTrack,Gunner bridge,Yes,Check co-ordinates,,172.1381088,-40.95869088,172.138267,-40.956943,Generic POI,Andrew Evans,New coordinate
6,HeaphyTrack,Heaphy Pa site,Yes,Delete,,172.1104183,-40.98638772,172.110576,-40.98464,Historic site,Andrew Evans,Cannot locate
7,HeaphyTrack,Heaphy River Lagoon,Yes,Delete,,172.1086021,-40.98531073,172.10876,-40.983563,"Lake, River, stream, beach",Andrew Evans,Cannot locate
8,HeaphyTrack,Heaphy River view from Mackay Hut,Yes,Delete,,172.110754,-40.98885,172.110912,-40.987103,Scenic Lookout,Andrew Evans,Cannot locate
9,HeaphyTrack,Kiwi at Mackay and Lewis Huts,Yes,Delete,,172.147913,-40.940099,172.148071,-40.938351,Birdwatching,Andrew Evans,Cannot locate
10,HeaphyTrack,Lewis Giant Rata tree,Yes,"Delete - replaced by NEW ""Lewis Rata""",,172.1463709,-40.94180797,172.146529,-40.94006,Generic POI,Andrew Evans,Okay
11,HeaphyTrack,Limestone bluffs Heaphy Valley  (Between Lewis and Heaphy Huts on the TL of the Heaphy River),No,Delete - can't find correct co-ordinates,,172.250436,-41.789231,172.250591,-41.787504,Generic POI,Andrew Evans,Okay
12,HeaphyTrack,Nikau palms Heaphy Valley and coastal ( two Headed Nikau limestone section ),Yes,Delete,,172.1431982,-40.95473819,172.143357,-40.95299,Generic POI,Andrew Evans,Cannot locate
13,HeaphyTrack,Scotts Hill lookout,Yes,Check co-ordinates,,172.1015713,-41.09855,172.101729,-41.096805,Scenic Lookout,Andrew Evans,New coordinate
56,HeaphyTrack,Heaphy Hut,Yes,Delete - replaced by CSV ID 57,"The Heaphy Hut is located right next to one of New Zealand's oldest and most interesting archaeological sites - an ancient village situated on a nearby river bank, believed to have been settled by Polynesians in the 13th - 14th century. ",172.103418,-41.091484,172.103576,-41.089739,Hut,Andrew Evans,Cannot locate - delete as already plotted under Heaphy Hut and Campsite (see CSV ID no 57) JE 18/03/13
57,HeaphyTrack,Heaphy Hut and Campsite,Yes,Check co-ordinates,,172.111,-40.9865,172.111158,-40.984753,Camphut,Andrew Evans,New coordinate
58,HeaphyTrack,Land snails,Yes,Check co-ordinates,"Kahurangi National Park harbours half of New Zealand's 40 species of carnivorous land snail (Powelliphanta). Look out for one on the track, particularly near limestone outcrops where there is enough calcium to nourish their sizeable shells! ",172.108564,-40.992014,172.108722,-40.990267,Animal,Andrew Evans,Okay
152,HeaphyTrack,Brown Hut and Brown River Campsite,Yes,Check co-ordinates,,172.447,-40.8502,172.447161,-40.84845,Camphut,Andrew Evans,New coordinate
153,HeaphyTrack,Aorere Shelter,Yes,Check co-ordinates,,172.44,-40.8945,172.440161,-40.892752,Shelter,Andrew Evans,New coordinate
154,HeaphyTrack,Aorere Campsite,Yes,Check co-ordinates,,172.439,-40.895,172.439161,-40.893252,Campsite,Andrew Evans,New coordinate
155,HeaphyTrack,Lookout Point,Yes,Check co-ordinates,,172.421,-40.9043,172.42116,-40.902552,Feature,Andrew Evans,New coordinate
156,HeaphyTrack,Perry Saddle Hut and Campsite,Yes,Check co-ordinates,,172.403,-40.9017,172.40316,-40.899952,Camphut,Andrew Evans,New coordinate
157,HeaphyTrack,Gouland Downs Hut and Campsite,Yes,Check co-ordinates,,172.354,-40.8909,172.35416,-40.889152,Camphut,Andrew Evans,New coordinate
158,HeaphyTrack,Saxon Hut and Campsite,Yes,Check co-ordinates,,172.309,-40.8866,172.30916,-40.884851,Camphut,Andrew Evans,New coordinate
159,HeaphyTrack,James Mackay Hut and Campsite,Yes,Check co-ordinates,,172.218,-40.8858,172.218159,-40.884051,Camphut,Andrew Evans,New coordinate
160,HeaphyTrack,Lewis Hut,Yes,Check co-ordinates,,172.148,-40.9402,172.148158,-40.938452,Hut,Andrew Evans,New coordinate
161,HeaphyTrack,Katipo Creek Shelter,Yes,Check co-ordinates,,172.107,-41.0442,172.107158,-41.042454,Shelter,Andrew Evans,New coordinate
162,HeaphyTrack,Katipo Creek Campsite,Yes,Check co-ordinates,,172.107,-41.0441,172.107158,-41.042354,Campsite,Andrew Evans,New coordinate
163,HeaphyTrack,Scotts Beach Campsite,Yes,Check co-ordinates,,172.105,-41.0884,172.105158,-41.086655,Campsite,Andrew Evans,New coordinate
164,HeaphyTrack,Kohaihai Shelter,Yes,Check co-ordinates,,172.103,-41.1086,172.103157,-41.106855,Shelter,Andrew Evans,New coordinate
,,,,,,,,,,,,
,,,,,,,,,,,,
14,KeplerTrack,Alpine tussock clearing,Yes,"Change map icon name, description and check co-ordinates",At around 1000 metres the track emerges from the bush into a large alpine tussock clearing. For most of the day you will be enjoying an adventure above the clouds surrounded by golden tussock and views that take your breath away. ,167.6345758,-45.39947176,167.63463,-45.397858,Generic POI,Andrew Evans,Okay
15,KeplerTrack,Hanging Valley Shelter,Yes,Check co-ordinates and add description,A favourite lunch stop with amazing views.,167.535779,-45.38300501,167.53583,-45.381392,Scenic Lookout,Andrew Evans,New coordinate
16,KeplerTrack,Limestone Bluffs,Yes,Delete,"The Kepler Mountains are built of metamorphic and plutonic rocks, formed deep in the earth's crust. Resting on this basement material are younger sediments like limestone, which formed when the area subsided below sea level before being raised again. Impressive limestone bluffs can be seen on the Kepler Track just below the bushline on Mount Luxmore. Glacial deposits dating from the last Ice Age mantle the lowlands around Lakes Te Anau and Manapouri. Glaciers scoured the Fiordland landscape for tens of thousands of years, carving the fiords, lakes and deep U- shaped valleys so typical of the area.",167.63929,-45.4038376,167.639344,-45.402224,Generic POI,Andrew Evans,Cannot locate
17,KeplerTrack,Moturau Hut,Yes,"Amend map icon name, description and check co-ordinates","Lake Manapouri is often described as the 'loveliest' of all lakes with its array of 33 small islands, backdrop of the majestic Cathedral Mountain range, native bush clad edges, sandy beaches and coves. The situation of Moturau Hut on the shores of Lake Manapouri makes the most of this beautiful area.",167.6104355,-45.48172416,167.610491,-45.480114,"Lake, River, stream, beach",Andrew Evans,New coordinate
18,KeplerTrack,Mt Luxmore Summit,Yes,Check co-ordinates,A 10 minute side trip to the summit (1472 metres) provides stunning panoramic views in fine weather.,167.5903334,-45.3860113,167.590386,-45.384398,Scenic Lookout,Andrew Evans,New coordinate
19,KeplerTrack,The Big Slip,Yes,Amend description and check co-ordinates,A massive slip that swept across the Iris Burn Valley in 1984 clearing everything in its path.,167.5249972,-45.41230297,167.525049,-45.410691,Generic POI,Andrew Evans,New coordinate
59,KeplerTrack,Iris Burn Falls,Yes,Amend description and check co-ordinates,Take a 15 minute stroll from Iris Burn Hut to reach Iris Burns Falls. The falls are a great place for an icy cold swim to refresh you after a day's walking.,167.4961819,-45.39560873,167.496233,-45.393997,Waterfall,Andrew Evans,New coordinate
60,KeplerTrack,Listen for kiwi,Yes,"Change map icon name, amend description and check co-ordinates",Listen out for the call of kiwi from Iris Burn Hut. Fiordland kiwi (tokoeka) can be heard on the Kepler Track. ,167.5095182,-45.39872048,167.509569,-45.397108,Birdwatching,Andrew Evans,New coordinate
61,KeplerTrack,Luxmore Cave,Yes,"Change map icon name, amend description and check co-ordinates",Explore an amazing limestone cave! Grab a torch and take a quick 10 minute stroll from Luxmore Hut to the cave. Just 30 metres into the cave you'll find stalactites and stalagmites.,167.6157902,-45.38886302,167.615843,-45.38725,Generic POI,Andrew Evans,New coordinate
62,KeplerTrack,Rainbow Reach Swing Bridge,Yes,Check co-ordinates,Swing bridges make for an entertaining journey over rivers and creeks. The Rainbow Reach swing bridge crosses the Waiau River and makes an impressive entry/exit point for the track.,167.6630553,-45.4907336,167.663112,-45.489123,Generic POI,Andrew Evans,New coordinate
63,KeplerTrack,Luxmore Hut,No,"Change map icon name, change binoculars icon to hut icon, amend description, check co-ordinates",Watching the sunrise from Luxmore Hut allows you to take in splendid views of Lake Te Anau right across to the Murchison Mountains.,167.6189969,-45.38535944,167.61905,-45.383746,Scenic Lookout,Andrew Evans,New coordinate
188,KeplerTrack,Kepler Track Shelter,Yes,Check co-ordinates,,167.689,-45.4422,167.689056,-45.440588,Shelter,Andrew Evans,New coordinate
189,KeplerTrack,Brod Bay Campsite and Shelter,Yes,Check co-ordinates and add shelter icon to sit alongside campsite icon or combine campsite icon and shelter icon into one!,,167.674,-45.4041,167.674055,-45.402486,Campsite,Andrew Evans,New coordinate
190,KeplerTrack,Luxmore Hut,Yes,Delete - replaced by CSV ID 63,,167.619,-45.3853,DELETE,DELETE,Hut,Andrew Evans,Already shown as CSV ID 63
191,KeplerTrack,Forest Burn Shelter,Yes,Check co-ordinates,,167.567,-45.3881,167.567052,-45.386487,Shelter,Andrew Evans,New coordinate
192,KeplerTrack,Hanging Valley Shelter,Yes,Check co-ordinates,,167.536,-45.383,167.536051,-45.381387,Shelter,Andrew Evans,New coordinate
193,KeplerTrack,Iris Burn Hut and Campsite,Yes,Check co-ordinates,,167.509,-45.3989,167.509051,-45.397288,Camphut,Andrew Evans,New coordinate
194,KeplerTrack,Brod Bay Shelter,Yes,Delete - replaced by CSV ID 189,,167.675,-45.4048,167.675055,-45.403186,Shelter,Andrew Evans,Cannot locate
195,KeplerTrack,Rocky Point Shelter,Yes,Check co-ordinates,,167.567,-45.4483,167.567054,-45.446689,Shelter,Andrew Evans,New coordinate
196,KeplerTrack,Rainbow Reach Carpark Shelter,Yes,Check co-ordinates,,167.663,-45.4917,167.663057,-45.49009,Shelter,Andrew Evans,New coordinate
197,KeplerTrack,Fiordland National Park Visitor Centre,Yes,Check co-ordinates,,167.716,-45.4211,167.716056,-45.419487,VisitorCentre,Andrew Evans,New coordinate
,,,,,,,,,,,,
20,LakeWaikaremoana,Aniwaniwa Falls,Yes,"Change map icon name, add description and check co-ordinates",Follow a 20 minute loop track from the Visitor Centre to reach the base of this beautiful two-drop waterfall.,177.161409,-38.743641,177.161625,-38.741872,Waterfall,Andrew Evans,New coordinate
21,LakeWaikaremoana,Bald Knob,Yes,Check co-ordinates and add description,"An excellent viewpoint, Bald Knob is one of the grandest on the track at 1155 metres, from here you will be dangling over the lake from very high up in the sky! ",177.069452,-38.795036,177.069668,-38.793267,Scenic Lookout,Andrew Evans,Okay
22,LakeWaikaremoana,Lake Waikareiti,Yes,Check co-ordinates,Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb),177.170091,-38.712779,177.170307,-38.71101,"Lake, River, stream, beach",Andrew Evans,Okay
23,LakeWaikaremoana,Lou's Lookout,Yes,Check co-ordinates and add description,"Lou’s Lookout lies on a massive landslide from the end of Ngamoko (the peak to the east of the lookout) 2,200 years ago. Lou’s Track is named after the late Lou Dolman, a long-serving Tuai policeman who was instrumental in constructing the track in the 1960’s.",177.1296,-38.790249,177.129816,-38.78848,Scenic Lookout,Andrew Evans,New coordinate
24,LakeWaikaremoana,Mist off Lake Waikaremoana,Yes,Remove,Mist rising off the Lake in the morning,177.086125,-38.769041,177.086341,-38.767272,"Lake, River, stream, beach",Andrew Evans,Okay
25,LakeWaikaremoana,Onepoto Caves,Yes,Add description and check co-ordinates,"Formed by great landslides some 2,200 years ago, the Onepoto Caves were created by the same land movement that created Lake Waikaremoana. The caves range from small cavities to tunnels up to 20 metres long with multiple entrances. The caves can be reached via a 2-hour return walk from a lookout next to State Highway 38, 10km south of the Aniwaniwa Visitor Centre. Spend time exploring the caves but be sure to take a torch with you as the caves have little natural light and the cave floors can be slippery. Plus, watch out for weta - harmless insects that can be found in the caves!",177.12366,-38.798593,177.123876,-38.796824,Generic POI,Andrew Evans,Okay
26,LakeWaikaremoana,Onepoto Redoubt,Yes,Remove - replaced by CSV ID 100,,177.119922,-38.804038,177.120138,-38.802269,Historic site,Andrew Evans,Remove - The Armed Constabulary Redoubt and the Onepoto Redoubt are one and the same. The redoubt covers a fairly large area.
27,LakeWaikaremoana,Ruapani Tarns,Yes,"Change map icon name, description and check co-ordinates","A stunning complex of high altitude wetlands in a tall beech forest setting, located close to the pristine Lake Waikareiti in Te Urewera National Park. A great place to see wetland birds such as scaups/pāpango, grey ducks/pārera, Australian coots and little black shags.",177.163067,-38.743063,177.163283,-38.741294,Side trip,Andrew Evans,New coordinate
28,LakeWaikaremoana,Waikaremoana Holiday Park,Yes,"Change map icon name, description and check co-ordinates","Comfortable accommodation ranging from cabins and self-contained units to powered and non-powered campsites, situated on the lake's edge at Home Bay. Swim, fish, boat, relax before or after the Great Walk. ",177.155597,-38.753444,177.155813,-38.751675,Camping,Andrew Evans,New coordinate
64,LakeWaikaremoana,Korokoro Falls,Yes,Change description and check co-ordinates,"The Korokoro Falls are well worth the detour. This must-see, spectacular waterfall drops off a sheer cliff amidst native rainforest - very instagrammable! Take a short walk (1 hour return) up the side track from the Korokoro Campsite to reach the falls.",176.976503,-38.79837,176.976719,-38.796601,Waterfall,Andrew Evans,New coordinate
65,LakeWaikaremoana,Maori History,Yes,Remove - already a don't miss feature!,"If the weather is less than postcard-blue skies, remember that the remote Te Urewera National Park has been home to Ngai Tuhoe, the local Maori people, who call themselves Nga Tamariki o te Kohu - the children of the mist. If you're spending a rainy evening by the hut fireside, why not take a guidebook and take the opportunity to learn the names of some plants or bird in Te Reo Maori?",177.06,-38.769288,177.060216,-38.767519,Historic site,Andrew Evans,Okay
66,LakeWaikaremoana,Panekire Hut,Yes,Check co-ordinates and change description,"Be sure to get up early and watch the sun rise through the goblin forest trees at the top, simply breathtaking!",177.051863,-38.812394,177.052079,-38.810625,Scenic Lookout,Andrew Evans,New coordinate
67,LakeWaikaremoana,Swimming in the lake!,Yes,Check co-ordinates and change description,"Take your swimming gear! The cool, crystal clear water will be heavenly refreshing after a long day's walk. There are plenty of spots, and most of the huts and campsites have great swimming too.",177.076125,-38.769041,177.076341,-38.767272,Swimming,Andrew Evans,Okay
82,LakeWaikaremoana,Hopuruahine Landing,Yes,Change map icon name and check co-ordinates,,177.063,-38.7115,177.063216,-38.709731,Shelter,Andrew Evans,Okay
