CSV Idd,GreatWalk,Name,Action,Description,Longitude,Latitude,POIIconType,Comments
55,AbelTasmanCoastTrack,Tonga Island Marine Reserve,Check co-ordinates and amend description,"The third marine reserve to be created alongside a national park covering an area of 1835 hectares. Swimming, snorkelling and kayaking are popular activities.",173.066841,-40.888723,Generic POI,New coordinate
140,AbelTasmanCoastTrack,Bark Bay Hut,Check co-ordinates and replace hut/campsite icon with hut icon,,173.049172,-40.914352,Camphut,New coordinate
NEW!,HeaphyTrack,Lewis Rata,"Add co-ordinates, binocular map icon and description",Two giant Northern Rata across the river from the Lewis hut  You pass these walking either way . Thought to be the two biggest examples in NZ reach far above the surrounding forest like a (Leviathan of the deep) they appear without warning . Their woven vined trunks fused to form a colossus of wood. No doubt seen the arrival of Polynesians and Europeans to these shores.  Learn the story how thw Northern Rata starts life on a host tree ..Great photo spot.,172.1474,40.94205,Feature,
NEW!,HeaphyTrack,Heaphy Bridge ,"Add co-ordinates, binocular map icon and description",Completed in 2012 this magnificent structure replaces both the Lewis and old Heaphy bridges and is a great place to stop for photos!,172.1498,40.94135,Feature,
5,HeaphyTrack,Gunner bridge,Check co-ordinates,,172.138267,-40.956943,Generic POI,New coordinate
13,HeaphyTrack,Scotts Hill lookout,Check co-ordinates,,172.101729,-41.096805,Scenic Lookout,New coordinate
57,HeaphyTrack,Heaphy Hut and Campsite,Check co-ordinates,,172.111158,-40.984753,Camphut,New coordinate
58,HeaphyTrack,Land snails,Check co-ordinates,"Kahurangi National Park harbours half of New Zealand's 40 species of carnivorous land snail (Powelliphanta). Look out for one on the track, particularly near limestone outcrops where there is enough calcium to nourish their sizeable shells! ",172.108722,-40.990267,Animal,Okay
152,HeaphyTrack,Brown Hut and Brown River Campsite,Check co-ordinates,,172.447161,-40.84845,Camphut,New coordinate
153,HeaphyTrack,Aorere Shelter,Check co-ordinates,,172.440161,-40.892752,Shelter,New coordinate
154,HeaphyTrack,Aorere Campsite,Check co-ordinates,,172.439161,-40.893252,Campsite,New coordinate
155,HeaphyTrack,Lookout Point,Check co-ordinates,,172.42116,-40.902552,Feature,New coordinate
156,HeaphyTrack,Perry Saddle Hut and Campsite,Check co-ordinates,,172.40316,-40.899952,Camphut,New coordinate
157,HeaphyTrack,Gouland Downs Hut and Campsite,Check co-ordinates,,172.35416,-40.889152,Camphut,New coordinate
158,HeaphyTrack,Saxon Hut and Campsite,Check co-ordinates,,172.30916,-40.884851,Camphut,New coordinate
159,HeaphyTrack,James Mackay Hut and Campsite,Check co-ordinates,,172.218159,-40.884051,Camphut,New coordinate
160,HeaphyTrack,Lewis Hut,Check co-ordinates,,172.148158,-40.938452,Hut,New coordinate
161,HeaphyTrack,Katipo Creek Shelter,Check co-ordinates,,172.107158,-41.042454,Shelter,New coordinate
162,HeaphyTrack,Katipo Creek Campsite,Check co-ordinates,,172.107158,-41.042354,Campsite,New coordinate
163,HeaphyTrack,Scotts Beach Campsite,Check co-ordinates,,172.105158,-41.086655,Campsite,New coordinate
164,HeaphyTrack,Kohaihai Shelter,Check co-ordinates,,172.103157,-41.106855,Shelter,New coordinate
19,KeplerTrack,The Big Slip,Amend description and check co-ordinates,A massive slip that swept across the Iris Burn Valley in 1984 clearing everything in its path.,167.525049,-45.410691,Generic POI,New coordinate
59,KeplerTrack,Iris Burn Falls,Amend description and check co-ordinates,Take a 15 minute stroll from Iris Burn Hut to reach Iris Burns Falls. The falls are a great place for an icy cold swim to refresh you after a day's walking.,167.496233,-45.393997,Waterfall,New coordinate
17,KeplerTrack,Moturau Hut,"Amend map icon name, description and check co-ordinates","Lake Manapouri is often described as the 'loveliest' of all lakes with its array of 33 small islands, backdrop of the majestic Cathedral Mountain range, native bush clad edges, sandy beaches and coves. The situation of Moturau Hut on the shores of Lake Manapouri makes the most of this beautiful area.",167.610491,-45.480114,"Lake, River, stream, beach",New coordinate
60,KeplerTrack,Listen for kiwi,"Change map icon name, amend description and check co-ordinates",Listen out for the call of kiwi from Iris Burn Hut. Fiordland kiwi (tokoeka) can be heard on the Kepler Track. ,167.509569,-45.397108,Birdwatching,New coordinate
61,KeplerTrack,Luxmore Cave,"Change map icon name, amend description and check co-ordinates",Explore an amazing limestone cave! Grab a torch and take a quick 10 minute stroll from Luxmore Hut to the cave. Just 30 metres into the cave you'll find stalactites and stalagmites.,167.615843,-45.38725,Generic POI,New coordinate
63,KeplerTrack,Luxmore Hut,"Change map icon name, change binoculars icon to hut icon, amend description, check co-ordinates",Watching the sunrise from Luxmore Hut allows you to take in splendid views of Lake Te Anau right across to the Murchison Mountains.,167.61905,-45.383746,Scenic Lookout,New coordinate
14,KeplerTrack,Alpine tussock clearing,"Change map icon name, description and check co-ordinates",At around 1000 metres the track emerges from the bush into a large alpine tussock clearing. For most of the day you will be enjoying an adventure above the clouds surrounded by golden tussock and views that take your breath away. ,167.63463,-45.397858,Generic POI,Okay
18,KeplerTrack,Mt Luxmore Summit,Check co-ordinates,A 10 minute side trip to the summit (1472 metres) provides stunning panoramic views in fine weather.,167.590386,-45.384398,Scenic Lookout,New coordinate
62,KeplerTrack,Rainbow Reach Swing Bridge,Check co-ordinates,Swing bridges make for an entertaining journey over rivers and creeks. The Rainbow Reach swing bridge crosses the Waiau River and makes an impressive entry/exit point for the track.,167.663112,-45.489123,Generic POI,New coordinate
188,KeplerTrack,Kepler Track Shelter,Check co-ordinates,,167.689056,-45.440588,Shelter,New coordinate
191,KeplerTrack,Forest Burn Shelter,Check co-ordinates,,167.567052,-45.386487,Shelter,New coordinate
192,KeplerTrack,Hanging Valley Shelter,Check co-ordinates,,167.536051,-45.381387,Shelter,New coordinate
193,KeplerTrack,Iris Burn Hut and Campsite,Check co-ordinates,,167.509051,-45.397288,Camphut,New coordinate
195,KeplerTrack,Rocky Point Shelter,Check co-ordinates,,167.567054,-45.446689,Shelter,New coordinate
196,KeplerTrack,Rainbow Reach Carpark Shelter,Check co-ordinates,,167.663057,-45.49009,Shelter,New coordinate
197,KeplerTrack,Fiordland National Park Visitor Centre,Check co-ordinates,,167.716056,-45.419487,VisitorCentre,New coordinate
15,KeplerTrack,Hanging Valley Shelter,Check co-ordinates and add description,A favourite lunch stop with amazing views.,167.53583,-45.381392,Scenic Lookout,New coordinate
189,KeplerTrack,Brod Bay Campsite and Shelter,Check co-ordinates and add shelter icon to sit alongside campsite icon or combine campsite icon and shelter icon into one!,,167.674055,-45.402486,Campsite,New coordinate
NEW!,LakeWaikaremoana,Papakorito Falls ,Add - new co-ordinates and waterfall icon,An impressive 20 metre waterfall that is worth seeing! It takes about 10 minutes return to reach the waterfall on an easy walking track from the nearby Aniwaniwa Visitor Centre.,177.17628,-38.74086,Waterfall,New
25,LakeWaikaremoana,Onepoto Caves,Add description and check co-ordinates,"Formed by great landslides some 2,200 years ago, the Onepoto Caves were created by the same land movement that created Lake Waikaremoana. The caves range from small cavities to tunnels up to 20 metres long with multiple entrances. The caves can be reached via a 2-hour return walk from a lookout next to State Highway 38, 10km south of the Aniwaniwa Visitor Centre. Spend time exploring the caves but be sure to take a torch with you as the caves have little natural light and the cave floors can be slippery. Plus, watch out for weta - harmless insects that can be found in the caves!",177.123876,-38.796824,Generic POI,Okay
64,LakeWaikaremoana,Korokoro Falls,Change description and check co-ordinates,"The Korokoro Falls are well worth the detour. This must-see, spectacular waterfall drops off a sheer cliff amidst native rainforest - very instagrammable! Take a short walk (1 hour return) up the side track from the Korokoro Campsite to reach the falls.",176.976719,-38.796601,Waterfall,New coordinate
82,LakeWaikaremoana,Hopuruahine Landing,Change map icon name and check co-ordinates,,177.063216,-38.709731,Shelter,Okay
88,LakeWaikaremoana,Waiharuru Hut and Campsite,Change map icon name and check co-ordinates,,177.033216,-38.741831,Camphut,New coordinate
83,LakeWaikaremoana,Marauiti Hut,Change map icon name and check co-ordinates and replace combined campsite/hut icon with hut icon,,176.996216,-38.765931,Camphut,New coordinate
20,LakeWaikaremoana,Aniwaniwa Falls,"Change map icon name, add description and check co-ordinates",Follow a 20 minute loop track from the Visitor Centre to reach the base of this beautiful two-drop waterfall.,177.161625,-38.741872,Waterfall,New coordinate
100,LakeWaikaremoana,Armed Constabulary Redoubt,"Change map icon name, add description and check co-ordinates","The second of three military sites, based at Onepoto during the Maori Land Wars, this redoubt was built in 1868. At the start of the Lake Waikaremoana Great Walk, the approach track to Panekire brings you past the rock where soldiers carved their names in the 1860's, dating their graffiti, and across what was once the parade ground.  Exploring the side track here uncovers the old camp ovens and other remnants of the redoubt.",177.1199,-38.80405,Feature,The Armed Constabulary Redoubt and the Onepoto Redoubt are one and the same. The redoubt covers a fairly large area.
87,LakeWaikaremoana,Tapuaenui Campsite and Shelter,"Change map icon name, check co-ordinates and combine campsite and shelter icon into one or put these icons side-by-side as the campsite and shelter are on the same site.",,177.052216,-38.734131,Campsite,New coordinate
90,LakeWaikaremoana,Maraunui Campsite and Shelter,"Change map icon name, check co-ordinates and combine campsite and shelter icon into one or put these icons side-by-side as the campsite and shelter are on the same site.",,176.988216,-38.766731,Shelter,New coordinate
85,LakeWaikaremoana,Korokoro Campsite and Shelter,"Change map icon name, check co-ordinates and combine shelter icon and campsite icon into one or put these icons side-by-side as the campsite and shelter are on the same site",,176.987216,-38.791931,Campsite,New coordinate
27,LakeWaikaremoana,Ruapani Tarns,"Change map icon name, description and check co-ordinates","A stunning complex of high altitude wetlands in a tall beech forest setting, located close to the pristine Lake Waikareiti in Te Urewera National Park. A great place to see wetland birds such as scaups/pāpango, grey ducks/pārera, Australian coots and little black shags.",177.163283,-38.741294,Side trip,New coordinate
28,LakeWaikaremoana,Waikaremoana Holiday Park,"Change map icon name, description and check co-ordinates","Comfortable accommodation ranging from cabins and self-contained units to powered and non-powered campsites, situated on the lake's edge at Home Bay. Swim, fish, boat, relax before or after the Great Walk. ",177.155813,-38.751675,Camping,New coordinate
101,LakeWaikaremoana,Panekire Lookout,"Change map icon name, description and check co-ordinates",A great spot to take a well-earned rest after your climb to reach the top. Get your camera ready as the panoramic views of the lake and surrounding region will take your breath away.,177.05206,-38.81238,Feature,New coordinates provided and change in name
22,LakeWaikaremoana,Lake Waikareiti,Check co-ordinates,Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb),177.170307,-38.71101,"Lake, River, stream, beach",Okay
86,LakeWaikaremoana,Waiopaoa Hut and Campsite,Check co-ordinates,,176.993216,-38.807331,Camphut,New coordinate
91,LakeWaikaremoana,Onepoto Bay Shelter,Check co-ordinates,,177.120216,-38.798631,Shelter,New coordinate
92,LakeWaikaremoana,Whanganui Hut,Check co-ordinates,,177.040216,-38.718731,Hut,New coordinate
93,LakeWaikaremoana,Aniwaniwa Visitor Centre,Check co-ordinates,,177.160216,-38.740931,VisitorCentre,New coordinate
21,LakeWaikaremoana,Bald Knob,Check co-ordinates and add description,"An excellent viewpoint, Bald Knob is one of the grandest on the track at 1155 metres, from here you will be dangling over the lake from very high up in the sky! ",177.069668,-38.793267,Scenic Lookout,Okay
23,LakeWaikaremoana,Lou's Lookout,Check co-ordinates and add description,"Lou’s Lookout lies on a massive landslide from the end of Ngamoko (the peak to the east of the lookout) 2,200 years ago. Lou’s Track is named after the late Lou Dolman, a long-serving Tuai policeman who was instrumental in constructing the track in the 1960’s.",177.129816,-38.78848,Scenic Lookout,New coordinate
66,LakeWaikaremoana,Panekire Hut,Check co-ordinates and change description,"Be sure to get up early and watch the sun rise through the goblin forest trees at the top, simply breathtaking!",177.052079,-38.810625,Scenic Lookout,New coordinate
67,LakeWaikaremoana,Swimming in the lake!,Check co-ordinates and change description,"Take your swimming gear! The cool, crystal clear water will be heavenly refreshing after a long day's walk. There are plenty of spots, and most of the huts and campsites have great swimming too.",177.076341,-38.767272,Swimming,Okay
33,MilfordTrack,Mackinnon Pass Shelter,Change map icon name and check co-ordinates,"A memorial to the Quinin Mackinnon marks this spectacular main-divide pass surrounded by glacier encrusted mountains.  In 1888 the government funded the first track-making expeditions in the Arthur and Clinton Valleys as an incentive to find an accessible route to Milford Sound. Quntin Mackinnnon and Earnest Mitchell found the Mackinnon Pass the same year, and Mackinnon quickly established himself as the first guide on the Milford Track. ",167.766618,-44.801286,Generic POI,Okay
178,MilfordTrack,Boatshed Shelter,Change map icon name and check co-ordinates,,167.80305,-44.736259,Feature,New coordinate
181,MilfordTrack,Quintin Shelter,Change map icon name and check co-ordinates,,167.754048,-44.789662,Shelter,New coordinate
68,MilfordTrack,Blue duck/whio,"Change map icon name, change description and check co-ordinates","Look out for blue duck/whio riding rapids on the Clinton and Arthur Rivers. Often hard to spot, their blue-grey feathers provide perfect camouflage amongst rocks. Males whistle a call of 'fee-o' while females make a low rattling sound.",167.847519,-44.871256,Birdwatching,Okay
30,MilfordTrack,Giants Gate Falls,Check co-ordinates,"One of the most beautiful waterfalls you'll see, and you can't miss it as the swingbridge crosses right beside it. ",167.852154,-44.70388,Waterfall,New coordinate
32,MilfordTrack,Mackay Falls,Check co-ordinates,This highly photographed waterfall has become an icon of the Milford Track.,167.798097,-44.729491,Waterfall,New coordinate
34,MilfordTrack,Milford Sound,Check co-ordinates,The spectacular conclusion to the 'Finest Walk in the World',167.925613,-44.673636,Generic POI,Okay
174,MilfordTrack,Dumpling Hut,Check co-ordinates,,167.764048,-44.767461,Hut,New coordinate
175,MilfordTrack,Sandfly Point Shelter,Check co-ordinates,,167.902053,-44.681657,Shelter,New coordinate
176,MilfordTrack,Giants Gate Shelter,Check co-ordinates,,167.851051,-44.704758,Shelter,New coordinate
180,MilfordTrack,Mintaro Hut,Check co-ordinates,,167.782049,-44.808263,Hut,New coordinate
184,MilfordTrack,Bus Stop Shelter,Check co-ordinates,,167.804051,-44.838764,Shelter,New coordinate
185,MilfordTrack,Clinton Hut,Check co-ordinates,,167.908054,-44.903666,Hut,New coordinate
186,MilfordTrack,Glade Wharf,Check co-ordinates,,167.930055,-44.930668,Feature,New coordinate
179,MilfordTrack,Andersons Cascade Shelter,Check co-ordinates - new co-ordinates provided,,167.773075,-44.794456,Shelter,New coordinate
29,MilfordTrack,Bell Rock,Check co-ordinates and change description,"Bell Rock was hollowed out by Mackay Falls and then turned upside down. It is possible to stand in the hollowed out part, which is over 4 metres high inside.",167.79927,-44.739815,Generic POI,New coordinate
31,MilfordTrack,Lake Ada,Check co-ordinates and change description,"Lake Ada was part of Milford Sound until about 1,000 years ago, when a landslip blocked it off.",167.865016,-44.70139,Historic site,New coordinate
36,MilfordTrack,The Wetland Walkway,Check co-ordinates and change description,A short side track to the wetland area is signposted 10 minutes before Clinton Hut. A boardwalk winds its way over this diverse and interesting wetland environment to an open platform which affords spectacular views of the Clinton Valley and Mt.Sentinel.,167.908552,-44.907105,Side trip,Okay
69,MilfordTrack,Clinton River Swing Bridge,Check co-ordinates and change description,"Cross the Clinton River on this impressive 72 metre suspension bridge, built by Fijian engineers in 1978. The bridge is a great place to spot eels and trout in the river.",167.930203,-44.917841,Generic POI,New coordinate
70,MilfordTrack,Sutherland Falls,Check co-ordinates and change description,Spectacular Sutherland Falls drops 580 metres in three leaps from Lake Quill. Leave your pack at the shelter but don't forget to take your raincoat - the falls generate a lot of spray! Allow 1.5 hours for the return trip.,167.7328,-44.796361,Waterfall,New coordinate
NEW!,RakiuraTrack,Port William Shelter,Add co-ordinates and shelter map icon,,168.087089,-46.83443,Shelter,
38,RakiuraTrack,Kaipipi Bay,"Add co-ordinates, add description and binoculars map icon","Today this is a tranquil picnic spot, but not so in the late 1800s - early 1900s when a long bridge and tramline spanned the Kaipipi shallows to allow saw millers to tap into the centuries old rimu which was the preferred timber for furniture and buildings. ",168.069701,-46.904749,"Lake, River, stream, beach",Okay
37,RakiuraTrack,Gallon's Sawmill,"Add co-ordinates, description and binoculars map icon","The Rakiura Track runs past a number of old sawmill sites that once dotted the island's coastline. The first sawmill was built here in 1861 when Gallon dammed the small stream that flows into the head of Kaipipi Inlet to direct water into a race to a waterwheel to power his saw. No structures remain today, but there is still evidence of the rock lined pit where the waterwheel once stood and onsite interpretation tells the story of this mill. ",168.064417,-46.894617,Historical site,New coordinate
39,RakiuraTrack,Lee Bay,Change description and check co-ordinates,"Look for the anchor chain sculpture, which marks the entrance to Rakiura National Park and the beginning of the track. The sculpture signifies that Stewart Island/Rakiura is the anchor stone of Maui's canoe in Maori legend.",168.122579,-46.861776,Generic POI,Okay
40,RakiuraTrack,Maori Beach,Change description and check co-ordinates,"Site of early Maori kaika (Maori village) at Peter's Point and an area of significant sawmilling & logging from 1913 - 1931. The wharf, mill houses and school are long gone - abandoned machinery and tramlines are all that remain of the once thriving community.",168.086918,-46.855648,Historic site,New coordinate
73,RakiuraTrack,Ulva Island,Change description and check co-ordinates,"This predator-free island sanctuary is just a short 5 minute water taxi ride from Oban, the island's only township. Explore the island and spot rare and endangered native birds, many of which have been re-introduced.",168.135909,-46.931297,Birdwatching,Okay
201,RakiuraTrack,Port William Hut and Campsite,Change map name icon and check co-ordinates,,168.087089,-46.83443,Camphut,New coordinate
72,RakiuraTrack,North Arm Hut and Campsite,Change map name icon and combine hut and campsite icons into one or put these icons side-by-side as they are on the same site,"North Arm hut looks out over a large tidal bay, at the head of Paterson Inlet, where wading birds may often be seen feeding at low tide.",168.018552,-46.881419,Camphut,New coordinate
199,RakiuraTrack,Maori Beach Campsite and Shelter,Change map name icon and combine shelter and campsite icons into one or put these icons side-by-side as they are on the same site,,168.08809,-46.855731,Campsite,New coordinate
71,RakiuraTrack,Historic Log Haulers,Check co-ordinates,"Take a breather at the log haulers, remnants of a bygone era when these massive machines were used to drag the forest giants from the depths of the gullies and hillsides. ",168.068741,-46.843955,Historic site,New coordinate
198,RakiuraTrack,Rakiura National Park Visitor Centre,Check co-ordinates,,168.128091,-46.896732,VisitorCentre,New coordinate
203,RakiuraTrack,North Arm Shelter,Check co-ordinates,,168.03409,-46.897033,Shelter,New coordinate
42,RakiuraTrack,Port William / Potirepo,Check co-ordinates and change description,"Port William is a nice sheltered harbour and has been the site of a range of commercial industries over the years, from fishing, mining and farming to even a small Gold Rush. Rakiura tokoeka/kiwi can be heard and sometimes seen in this area.",168.082355,-46.835964,Generic POI,New coordinate
172,RouteburnTrack,Routeburn Shelter,Change map icon name and check co-ordinates,,168.279063,-44.717158,Shelter,New coordinate
76,RouteburnTrack,Spot yellowhead/mohua,"Change map icon name, change description and check co-ordinates",Spot the endangered yellowhead/mohua. This cute little songster is often perched high in the treetops. Listen out for its distinctive chirpy song along the first 3 kms of the track.,168.259827,-44.709,Birdwatching,Okay
47,RouteburnTrack,Routeburn Falls Hut,Check co-ordinates,,168.19919,-44.723887,Hut,New coordinate
165,RouteburnTrack,Routeburn Flats Hut and Campsite,Check co-ordinates,,168.211061,-44.723359,Camphut,New coordinate
166,RouteburnTrack,Conical Hill,Check co-ordinates,"Take the popular side trip to Conical Hill (1515m) and you’ll be rewarded with spectacular views on a good day of the Hollyford Valley through to Lake McKerrow, Martins Bay and the Tasman Sea.",168.16906,-44.719958,Feature,New coordinate
167,RouteburnTrack,Harris Saddle Shelter,Check co-ordinates,"From the Harris shelter, you are surrounded by mountains. Follow the well-trodden path from the shelter heading up to Conical Hill (1515m) to enjoy 360° panoramic views.",168.17106,-44.725759,Shelter,New coordinate
168,RouteburnTrack,Lake Mackenzie Hut and Campsite,Check co-ordinates,,168.176061,-44.76256,Camphut,New coordinate
169,RouteburnTrack,Lake Howden Hut,Check co-ordinates,,168.13506,-44.814962,Hut,New coordinate
170,RouteburnTrack,Key Summit Lookout,Check co-ordinates,,168.126059,-44.813162,Feature,New coordinate
171,RouteburnTrack,The Divide Shelter,Check co-ordinates,,168.117059,-44.823563,Shelter,New coordinate
173,RouteburnTrack,Lake Howden Campsite,Check co-ordinates,,168.13706,-44.823863,Campsite,New coordinate
43,RouteburnTrack,Bridal Veil Falls,Check co-ordinates and add description,"A pretty waterfall that gently cascades down the valley, don't forget to take a few snapshots as you walk past on the track.",168.258581,-44.708768,Waterfall,New coordinate
44,RouteburnTrack,Harris Saddle,Check co-ordinates and add description,"The long climb to the Harris Saddle, the highest point of the track, is worth every step. The saddle has pretty little tarns (mountain lakes) hidden in its folds.",168.172496,-44.724033,Generic POI,New coordinate
45,RouteburnTrack,Lake Harris,Check co-ordinates and add description,"A hidden delight! The track sidles past this beautiful deep blue mountain lake, tucked into the surrounding mountains and alpine valley.",168.174172,-44.723652,Lake,New coordinate
46,RouteburnTrack,Routeburn Falls,Check co-ordinates and add description,"Enjoy the dramatic landscape around the Falls, before descending to the alpine meadows of the Routeburn Flats.",168.19919,-44.723887,Waterfall,Okay
48,RouteburnTrack,View from 'The Big Slip',Check co-ordinates and add description,‘The Big Slip’ happened in 1997 and cleared the beech forest from around the track affording views back down the Routeburn as well as up the Routeburn (north branch) towards Mt. Somnus (2293 metres) and Mt Momus (2148 metres).,168.209542,-44.728735,Scenic Lookout,Okay
49,RouteburnTrack,Hollyford Valley,"Check co-ordinates, change map icon name and add description",Look over the Hollyford Valley to the ice capped Darran Mountains before descending to Lake Mackenzie.,168.167388,-44.73076,Scenic Lookout,Okay
107,TongariroNorthernCircuit,Ohinepango Springs,Add description and check co-ordinates,Crystal clear cold water bubbles up from beneath an old lava flow and discharges at an enormous rate into the Ohinepango Stream. To reach the springs follow the Round the Mountain (Mt Ruapehu) side track from Waihohonu Hut - 1 hour return trip.,175.676208,-39.214537,Feature,Okay
109,TongariroNorthernCircuit,Soda Springs,Add description and check co-ordinates,Near the head of the Mangatepopo Valley a short side track leads to Soda Springs. The springs are an oasis for the moisture loving yellow buttercups and white foxgloves. 10-15 minutes return.,175.622207,-39.136535,Feature,New coordinate
108,TongariroNorthernCircuit,Historic Waihohonu Hut,"Add description, change map icon name and check co-ordinates","The hut was completed in 1904 by the Tourist and Health Resorts Department for park visitors and tourists travelling by coach from Waiouru or Tokaanu. It was the first hut built in Tongariro National Park, and the oldest example of a typical early two-room mountain hut in New Zealand. It was actively used for over 60 years, and remains standing on its original site. To reach this historic hut, follow the main track from the new Waihohonu Hut (20 minutes return).",175.673208,-39.207536,Feature,New coordinate
78,TongariroNorthernCircuit,Taranaki Falls,Change description and check co-ordinates,"Tumbling 20 metres over the edge of a large lava flow, which erupted from Ruapehu 15,000 years ago, Taranaki Falls plunge into a boulder-ringed pool. A looped track, allow 2 hours for the return trip.",175.565301,-39.194992,Waterfall,New coordinate
114,TongariroNorthernCircuit,Whakapapa Holiday Park,Change map icon name and check co-ordinates,,175.540207,-39.201037,Campsite,Okay
103,TongariroNorthernCircuit,Waihohonu Hut and Campsite,"Change map icon name, replace camping icon with hut/campsite icon and check co-ordinates",,175.683208,-39.208136,Hut,New coordinate
77,TongariroNorthernCircuit,Tama Lakes,Check co-ordinates,"Take the turn off to Tama Lakes from the main track. The two lakes, in filled explosion craters, are named after the high chief Tamatea, who explored the area six centuries ago.",175.606524,-39.19951,Lake,Okay
79,TongariroNorthernCircuit,Volcanoes,Check co-ordinates,"Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro, Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ",175.635076,-39.156604,Volcano,Okay
102,TongariroNorthernCircuit,Mangatepopo Hut and Campsite,Check co-ordinates,,175.597207,-39.142835,Camphut,New coordinate
104,TongariroNorthernCircuit,Oturere Hut and Campsite,Check co-ordinates,,175.689207,-39.157535,Camphut,New coordinate
105,TongariroNorthernCircuit,Mangatepopo Roadend Shelter,Check co-ordinates,,175.581206,-39.142735,Shelter,New coordinate
106,TongariroNorthernCircuit,Upper Tama Lake,Check co-ordinates,,175.622207,-39.183136,Feature,New coordinate
110,TongariroNorthernCircuit,Blue Lake,Check co-ordinates,,175.661207,-39.122935,Feature,Okay
112,TongariroNorthernCircuit,Emerald Lakes,Check co-ordinates,,175.655207,-39.132235,Feature,New coordinate
113,TongariroNorthernCircuit,Tongariro National Park Visitor Centre,Check co-ordinates,,175.540207,-39.199836,VisitorCentre,New coordinate
111,TongariroNorthernCircuit,Red Crater,,,175.651207,-39.134835,Feature,Okay
