CSV ID,GreatWalk,Name,Description,Longitude,Latitude,POIIconType,PixelOffsetLeft,PixelOffsetTop,Reviewed,Comments
16,KeplerTrack,Limestone Bluffs,The Kepler Mountains are built of metamorphic and plutonic rocks  formed deep in the earth's crust. Resting on this basement material are younger sediments like limestone  which formed when the area subsided below sea level before being raised again. Impressive limestone bluffs can be seen on the Kepler Track just below the bushline on Mount Luxmore. Glacial deposits dating from the last Ice Age mantle the lowlands around Lakes Te Anau and Manapouri. Glaciers scoured the Fiordland landscape for tens of thousands of years  carving the fiords  lakes and deep U- shaped valleys so typical of the area.,167.639344,-45.402224,Generic POI,,,Andrew Evans,Cannot locate
17,KeplerTrack,Moturau Hut on the shores of Lake Manapouri,Lake Manapouri is often described as the 'loveliest' of all lakes with its array of 33 small islands  backdrop of the majestic Cathedral Mountain range  native bush clad edges  sandy beaches and coves. The situation of Moturau Hut on the shores of Lake Manapouri makes the most of this beautiful area.,167.610491,-45.480114,Lake River stream beach,,,Andrew Evans,New coordinate
18,KeplerTrack,Mt Luxmore Summit,A 10 minute side trip to the summit (1472 metres) provides stunning panoramic views in fine weather.,167.590386,-45.384398,Scenic Lookout,,,Andrew Evans,New coordinate
19,KeplerTrack,The Big Slip,This is a massive Slip which swept across the Iris Burn Valley in 1984 clearing everything in its path.,167.525049,-45.410691,Generic POI,,,Andrew Evans,New coordinate
20,LakeWaikaremoana,Aniwaniwa falls on the Hinerau track,,177.161625,-38.741872,Waterfall,,25,Andrew Evans,New coordinate
21,LakeWaikaremoana,Bald Knob,Views from Bald Knob and feeling of dangling over the Lake from verrrrry high up in the sky,177.069668,-38.793267,Scenic Lookout,,,Andrew Evans,Okay
22,LakeWaikaremoana,Lake Waikareiti,Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb),177.170307,-38.71101,Lake River stream beach,,,Andrew Evans,Okay
23,LakeWaikaremoana,Lou's Lookout,,177.129816,-38.78848,Scenic Lookout,,,Andrew Evans,New coordinate
24,LakeWaikaremoana,Mist off Lake Waikaremoana,Mist rising off the Lake in the morning,177.086341,-38.767272,Lake River stream beach,,10,Andrew Evans,Okay
25,LakeWaikaremoana,Onepoto Caves,,177.123876,-38.796824,Generic POI,3,25,Andrew Evans,Okay
26,LakeWaikaremoana,Onepoto Redoubt,,177.120138,-38.802269,Historic site,,15,Andrew Evans,New coordinate
27,LakeWaikaremoana,Ruapani tarns walkway,Good running loop - through the different forest types - swamps  wetlands and tarns,177.163283,-38.741294,Side trip,7,,Andrew Evans,New coordinate
28,LakeWaikaremoana,Waikaremoana Motor Camp,Kick back and relax at the Waikaremoana Motor Camp,177.155813,-38.751675,Camping,,,Andrew Evans,New coordinate
29,MilfordTrack,Bell Rock,Bell Rock was hollowed out by Mackay Falls and then turned upside down. It is possible to stand in the hollowed out part  which is over 4 m high inside.,167.79927,-44.739815,Generic POI,,,Andrew Evans,New coordinate
30,MilfordTrack,Giants Gate,One of the most beautiful waterfalls you'll see  and you can't miss it as the swingbridge crosses right beside it. ,167.852154,-44.70388,Waterfall,,,Andrew Evans,New coordinate
31,MilfordTrack,Lake Ada,"Toward the end of the 19th century many visitors were walking the new track and there was an increasing demand to upgrade. Modelling an experiment from England  the Inspector General of Prisons decided to take 45 prisoners to work on cutting a road from Sandfly Point to Sutherland Falls. In 1892  prison barracks were set up at Sandfly Point. Within days of their arrival two prisoners escaped and fled over the track  only to be met by police in Te Anau. The next year two more escaped and got all the way to Mossburn  before being recaptured.
Due to a lack of discipline and only two kilometres of road being completed in nearly two years  it was decided the prisoners be removed and replaced with contract labourers. With most of the new labour gang being ex-miners and experienced with explosives  they were able to complete the difficult rock-blasting around Lake Ada by 1898. The names of two of the gang can still be seen carved on a rock wall there.",167.865016,-44.70139,Historic site,,,Andrew Evans,New coordinate
32,MilfordTrack,Mackay Falls,This highly photographed waterfall has become an icon of the Milford Track.,167.798097,-44.729491,Waterfall,,,Andrew Evans,New coordinate
33,MilfordTrack,Mackinnon Pass,A memorial to the Quinin Mackinnon marks this spectacular main-divide pass surrounded by glacier encrusted mountains.  In 1888 the government funded the first track-making expeditions in the Arthur and Clinton Valleys as an incentive to find an accessible route to Milford Sound. Quntin Mackinnnon and Earnest Mitchell found the Mackinnon Pass the same year  and Mackinnon quickly established himself as the first guide on the Milford Track. ,167.766618,-44.801286,Generic POI,,,Andrew Evans,Okay
34,MilfordTrack,Milford Sound,The spectacular conclusion to the 'Finest Walk in the World',167.925613,-44.673636,Generic POI,,15,Andrew Evans,Okay
35,MilfordTrack,The Pass Day Shelter,The Pass Day Shelter is 20 minutes from the memorial  crossing the highest point on the track at 1154 metres. The shelter is supplied with a gas-cooker during summer and has the toilet with the best view in Fiordland! ,167.775722,-44.800753,Scenic Lookout,,,Andrew Evans,New coordinate
36,MilfordTrack,The Wetland Walkway,A short side track to the wetland area is signposted 10 minutes before Clinton Hut. A boardwalk winds its way over this diverse and interesting wetland environment to an open platform which affords spectacular views of the Clinton Valley and Mt.Sentinel. Make use of the interpretive panels or join a guided walk with the Clinton Hut DOC ranger in the late afternoon.,167.908552,-44.907105,Side trip,30,,Andrew Evans,Okay
37,RakiuraTrack,Gallon's Sawmill,The Rakiura track runs past a number of old sawmill sites that once dotted the island's coastline. The first sawmill was built here in 1861 when Gallon dammed the small stream that flows into the head of Kaipipi Inlet to direct water into a race to a waterwheel to power his saw. No structures remain today  but there is still evidence of the rock lined pit where the waterwheel once stood and on-site interpretation tells the story of this mill. ,168.064417,-46.894617,Historical site,,,Andrew Evans,New coordinate
38,RakiuraTrack,Kaipipi Bay,Today this is a tranquil picnic spot  but not so in the late 1800s - early 1900s when a long bridge and tramline spanned the Kaipipi shallows to allow saw millers to tap into the centuries old rimu which was the preferred timber for furniture and buildings. ,168.069701,-46.904749,Lake River stream beach,,,Andrew Evans,Okay
39,RakiuraTrack,Lee Bay,Entrance to Rakiura National Park and beginning of Rakiura Track  has a symbolic  Anchor chain Sculpture (continuation of sculpture is at Stirling Point in Bluff) to signify that Stewart Island is the anchor stone of Maui's Canoe in Maori Legend.,168.122579,-46.861776,Generic POI,,,Andrew Evans,Okay
40,RakiuraTrack,Maori Beach,Site of early Maori kaika (Maori village) at Peter's Point. Area of significant sawmilling & logging from 1913 - 1931. A small community lived along Maori Beach waterfront which included Stewart Island's 3rd School at the time. Old machinery is present and interpretation/signage is posted for visitors.,168.086918,-46.855648,Historic site,,,Andrew Evans,New coordinate
41,RakiuraTrack,Podocarp Forest,The whole of the Rakiura Track has beautiful Podocarp - Broadleaf rainforest  however the second day of the Rakiura Track takes you through a section in the middle of un-milled 'virgin' forest where you are able to see large stands of old  Rimu  Rata  Miro  Totara & Kamahi.,168.077024,-46.845194,Generic POI,,,Andrew Evans,Okay
42,RakiuraTrack,Port William / Potirepo,Port William is a nice sheltered harbour so has been the site of a range of commercial industries over the years  from fishing  mining & farming to even a small Gold Rush.                                                                                      Kiwi can be heard and sometimes seen around this hut ,168.082355,-46.835964,Generic POI,,,Andrew Evans,New coordinate
43,RouteburnTrack,Bridal Veil Falls,,168.258581,-44.708768,Waterfall,-22,,Andrew Evans,New coordinate
44,RouteburnTrack,Harris Saddle,,168.172496,-44.724033,Generic POI,-45,,Andrew Evans,New coordinate
45,RouteburnTrack,Lake Harris,,168.174172,-44.723652,Lake,10,,Andrew Evans,New coordinate
46,RouteburnTrack,Routeburn Falls,,168.19919,-44.723887,Waterfall,,,Andrew Evans,Okay
47,RouteburnTrack,Routeburn Falls Hut,,168.19919,-44.723887,Hut,,30,Andrew Evans,New coordinate
48,RouteburnTrack,View from 'The Big Slip',,168.209542,-44.728735,Scenic Lookout,,,Andrew Evans,Okay
49,RouteburnTrack,View of Hollyford Valley & Darran Mountains,,168.167388,-44.73076,Scenic Lookout,,,Andrew Evans,Okay
50,WhanganuiJourney,The river Drop Scene **What's that? Needs explanation or else remove,,175.016144,-39.432618,Generic POI,,,Andrew Evans,Okay
51,WhanganuiJourney,Visit riverside villages by canoe i.e. Whakahoro & Pipiriki **Shouldn't these be actual markers on these villages instead? seems a bit useless in this current format,,175.047119,-39.478103,Generic POI,,-25,Andrew Evans,Okay
52,AbelTasman CoastTrack,Cleopatras Pool,Swim at Cleopatras Pool  a natural rock pool with a moss-lined waterslide that is fit for a queen! From Torrent Bay estuary  a 20 minute walk takes you to this refreshing pool.,173.037268,-40.954401,Swimming,5,,Andrew Evans,New coordinate
53,AbelTasman CoastTrack,Onetahuti Beach,Rest your weary walking feet at Onetahuti Beach. Shaped like a horse shoe it's one of the longest and most beautiful beaches in the park. Swim  snorkel or soak up the sunshine!,173.048576,-40.883559,Swimming,-30,-5,Andrew Evans,Okay
54,AbelTasman CoastTrack,Pitt Head,A 20 min walk crosses a low ridge from Anchorage Hut to crescent-shaped Te Pukatea Bay. From there  a 1 hour walk with great views leads to Pitt Head  an old pa site  and back to Anchorage.,173.067414,-40.946592,Historic site,,-15,Andrew Evans,New coordinate
55,AbelTasman CoastTrack,Tonga Island Marine Reserve,Tonga Island Marine Reserve is the third marine reserve to be created alongside a national park and covers an area of 1835 hectares. Swimming  snorkelling and kayaking are popular activities in the reserve.,173.066841,-40.888723,Generic POI,,,Andrew Evans,New coordinate
56,HeaphyTrack,Heaphy Hut,The Heaphy Hut is located right next to one of New Zealand's oldest and most interesting archaeological sites - an ancient village situated on a nearby river bank  believed to have been settled by Polynesians in the 13th - 14th century. ,172.103576,-41.089739,Hut,,,Andrew Evans,Cannot locate - delete as already plotted under Heaphy Hut and Campsite (see CSV ID no 57) JE 18/03/13
57,HeaphyTrack,Heaphy Hut and Campsite,,172.111158,-40.984753,Camphut,,30,Andrew Evans,New coordinate
58,HeaphyTrack,Land snails,Kahurangi National Park harbours half of New Zealand's 40 species of carnivorous land snail (Powelliphanta). Look out for one on the track  particularly near limestone outcrops where there is enough calcium to nourish their sizeable shells! ,172.108722,-40.990267,Animal,5,-20,Andrew Evans,Okay
59,KeplerTrack,Iris Burn Falls,Take a 15 min stroll from Iris Burn Hut to Iris Burns Falls. The falls are a great place for an icy cold swim to refresh you after a day's walking.,167.496233,-45.393997,Waterfall,,,Andrew Evans,New coordinate
60,KeplerTrack,Listening to Kiwi at Iris Burn Hut,Listen out for the call of NZ's iconic kiwi from Iris Burn Hut. Fiordland kiwi (tokoeka) can be heard on the Kepler Track. Largely nocturnal  it cannot fly  has loose  hair-like feathers and long whiskers.,167.509569,-45.397108,Birdwatching,,-30,Andrew Evans,New coordinate
61,KeplerTrack,Luxmore Caves,Explore an amazing limestone cave! Grab a couple of flashlights and take a quick 10 min stroll from Luxmore Hut to Luxmore Caves. Just 30 m into the cave you'll find stalactites and stalagmites.,167.615843,-45.38725,Generic POI,-5,5,Andrew Evans,New coordinate
62,KeplerTrack,Rainbow Reach Swing Bridge,Swing bridges make for an entertaining journey over rivers and creeks. The Rainbow Reach swing bridge crosses the Waiau River and makes an impressive entry/exit point for the track.,167.663112,-45.489123,Generic POI,,-40,Andrew Evans,New coordinate
63,KeplerTrack,Watching the sunrise from Luxmore Hut,Watching the sunrise from Luxmore Hut allows you to take in splendid views of Lake Te Anau right across to the Murchison Mountains.,167.61905,-45.383746,Scenic Lookout,,,Andrew Evans,New coordinate
64,LakeWaikaremoana,Korokoro Falls,The Korokoro Falls are well worth the detour. The spectacular waterfall drops off a sheer cliff amidst native rain forest - very instagrammable! It's a 30 minute walk just before the suspension bridge.,176.976719,-38.796601,Waterfall,,,Andrew Evans,New coordinate
65,LakeWaikaremoana,Maori History,If the weather is less than postcard-blue skies  remember that the remote Te Urewera National Park has been home to Ngai Tuhoe  the local Maori people  who call themselves Nga Tamariki o te Kohu - the children of the mist. If you're spending a rainy evening by the hut fireside  why not take a guidebook and take the opportunity to learn the names of some plants or bird in Te Reo Maori?,177.060216,-38.767519,Historic site,,,Andrew Evans,Okay
66,LakeWaikaremoana,Panekire Hut,Climbing to 1185 m to Panekire Hut  views of the ocean and the Lake - sunrise through the goblin forest trees at the top,177.052079,-38.810625,Scenic Lookout,,,Andrew Evans,New coordinate
67,LakeWaikaremoana,Swimming in the lake!,Take your swimming gear! The cool  crystal clear water will be heavenly refreshing after a long day's walk. There are plenty of spots  and most of the huts and campsites have great swimming too.,177.076341,-38.767272,Swimming,,,Andrew Evans,Okay
68,MilfordTrack,Blue Ducks - Clinton River,Look out for Whio (blue duck) riding rapids on the Clinton and Arthur Rivers. Often hard to spot  their blue-grey feathers provide perfect camouflage amongst rocks. Males whistle a call of 'fee-o' while females make a low rattling sound.,167.847519,-44.871256,Birdwatching,,,Andrew Evans,Okay
69,MilfordTrack,Clinton River Swing Bridge,Cross the Clinton River on this impressive 72 m suspension bridge  built by Fijian engineers in 1978. The bridge is a great place to spot eels and trout in the river.,167.930203,-44.917841,Generic POI,,,Andrew Evans,New coordinate
70,MilfordTrack,Sutherland Falls,Spectacular Sutherland Falls drops 580 m in three leaps from Lake Quill. Leave your pack at the shelter but don't forget to take your raincoat - the falls generate a lot of spray! Allow 1.5 hours for the return trip.,167.7328,-44.796361,Waterfall,,,Andrew Evans,New coordinate
71,RakiuraTrack,Logging Haulers,Take a breather at the log haulers  remnants of a bygone era when these massive machines were used to drag the forest giants from the depths of the gullies and hillsides. ,168.068741,-46.843955,Historic site,,,Andrew Evans,New coordinate
72,RakiuraTrack,North Arm Hut,North Arm hut looks out over a large tidal bay  at the head of Paterson Inlet  where wading birds may often be seen feeding at low tide.,168.018552,-46.881419,Hut,,,Andrew Evans,New coordinate
73,RakiuraTrack,Ulva Island,This predator-free island sanctuary is just a short 5 minute water taxi ride from Oban  the island's only township. Enjoy exploring the island and spotting rare and endangered birds  many of which have been re-introduced.,168.135909,-46.931297,Birdwatching,25,,Andrew Evans,Okay
74,RouteburnTrack,Ponamu trail,Follow in the footsteps of the ancient Tai Poutini iwi (tribe) who regularly walked the Routeburn Valley to the head of Lake Whakatipu in search of Pounamu (jade/greenstone)  a prized stone used for tools  weapons and ornaments.,168.117756,-44.823138,Historic site,25,,Andrew Evans,Cannot locate - but leave POI co-ordinates alone as this is a generic POI so ok - Julie Ellis 18/03
75,RouteburnTrack,Routeburn Gorge,Gorge-ous! History buffs will love the old forge and blacksmiths camp. From here  a short track leads to the site which supported construction of the early bridle track.,168.247086,-44.713343,Historic site,,,Andrew Evans,Cannot locate
76,RouteburnTrack,Spot Mohua,Spot the endangered mohua (yellowhead). This cute little songster is often perched high in the treetops. Listen out its distinctive chirpy song as you're walking the first 3 km of the track.,168.259827,-44.709,Birdwatching,,,Andrew Evans,Okay
77,TongariroNationalPark,Tama Lakes,Take the turn off to Tama Lakes from the main track. The two lakes  in filled explosion craters  are named after the high chief Tamatea  who explored the area six centuries ago.,175.606524,-39.19951,Lake,,,Andrew Evans,Okay
78,TongariroNationalPark,Taranaki Falls,Tumbling 20 m over the edge of a large lava flow  which erupted from Ruapehu 15 000 years ago  Taranaki Falls plunge into a boulder-ringed pool. A looped track  allow 2 hours for the return trip.,175.565301,-39.194992,Waterfall,,,Andrew Evans,New coordinate
79,TongariroNationalPark,Volcanoes,Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro  Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ,175.635076,-39.156604,Volcano,,,Andrew Evans,Okay
80,WhanganuiJourney,Bridge to Nowhere walk,Visit the famous Bridge to Nowhere  a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.,174.974622,-39.276647,Side trip,,,Andrew Evans,New coordinate
81,WhanganuiJourney,Staying at Tieke Kainga,Enjoy a unique stay at Tieke Kainga on a marae that is also used as a Great Walks hut. Tieke was one of many old pa sites on the Whanganui River and has been revived as a kainga (village).,174.993312,-39.33571,Historic site,,,Andrew Evans,New coordinate
82,LakeWaikaremoana,Hopuruahine Shelter,,177.063216,-38.709731,Shelter,,,Andrew Evans,Okay
83,LakeWaikaremoana,Marauiti Hut and Maraunui Campsite,,176.996216,-38.765931,Camphut,-30,10,Andrew Evans,New coordinate
84,LakeWaikaremoana,Tapuaenui Shelter,,177.052216,-38.734531,Shelter,,25,Andrew Evans,New coordinate
85,LakeWaikaremoana,Korokoro Campsite,,176.987216,-38.791931,Campsite,,,Andrew Evans,New coordinate
86,LakeWaikaremoana,Waiopaoa Hut and Campsite,,176.993216,-38.807331,Camphut,,,Andrew Evans,New coordinate
87,LakeWaikaremoana,Tapuaenui Campsite,,177.052216,-38.734131,Campsite,,,Andrew Evans,New coordinate
88,LakeWaikaremoana,Waiharuru Hut,,177.033216,-38.741831,Camphut,40,0,Andrew Evans,New coordinate
89,LakeWaikaremoana,Korokoro Camping Shelter,,176.986216,-38.792831,Shelter,,25,Andrew Evans,New coordinate
90,LakeWaikaremoana,Maraunui Camping Shelter,,176.988216,-38.766731,Shelter,,8,Andrew Evans,New coordinate
91,LakeWaikaremoana,Onepoto Bay Shelter,,177.120216,-38.798631,Shelter,,10,Andrew Evans,New coordinate
92,LakeWaikaremoana,Whanganui Hut,,177.040216,-38.718731,Hut,,,Andrew Evans,New coordinate
93,LakeWaikaremoana,Aniwaniwa Visitor Centre,,177.160216,-38.740931,VisitorCentre,,,Andrew Evans,New coordinate
94,Wellington,Water Whirler,,174.779191,-41.284775,Feature,-5,,Andrew Evans,New coordinate
95,Wellington,Kupe's Statue,,174.780191,-41.287375,Feature,15,-20,Andrew Evans,New coordinate
96,Wellington,The Great Leap,,174.780191,-41.286675,Feature,-15,15,Andrew Evans,New coordinate
97,Wellington,Hikitia Floating Crane,,174.780191,-41.287475,Feature,12,10,Andrew Evans,New coordinate
98,Wellington,Te Papa,,174.782191,-41.288276,Feature,30,,Andrew Evans,New coordinate
99,LakeWaikaremoana,Waikaremoana Motor Camp,,177.090216,-38.731831,Feature,,,Andrew Evans,Cannot locate
100,LakeWaikaremoana,Armed Constablulary Redoubt,,177.115216,-38.800831,Feature,,,Andrew Evans,Cannot locate
101,LakeWaikaremoana,Panekiri Bluff,,177.089216,-38.788031,Feature,,,Andrew Evans,Okay
102,TongariroNorthernCircuit,Mangatepopo Hut and Campsite,,175.597207,-39.142835,Camphut,,,Andrew Evans,New coordinate
103,TongariroNorthernCircuit,Waihohonu Hut,,175.683208,-39.208136,Hut,,,Andrew Evans,New coordinate
104,TongariroNorthernCircuit,Oturere Hut and Campsite,,175.689207,-39.157535,Camphut,,,Andrew Evans,New coordinate
105,TongariroNorthernCircuit,Mangatepopo Roadend Shelter,,175.581206,-39.142735,Shelter,,,Andrew Evans,New coordinate
106,TongariroNorthernCircuit,Upper Tama Lake,,175.622207,-39.183136,Feature,,,Andrew Evans,New coordinate
107,TongariroNorthernCircuit,Ohinepango Springs,,175.676208,-39.214537,Feature,,,Andrew Evans,Okay
108,TongariroNorthernCircuit,Old Waihohonu Hut,,175.673208,-39.207536,Feature,,,Andrew Evans,New coordinate
109,TongariroNorthernCircuit,Soda Springs,,175.622207,-39.136535,Feature,,,Andrew Evans,New coordinate
110,TongariroNorthernCircuit,Blue Lake,,175.661207,-39.122935,Feature,-15,-10,Andrew Evans,Okay
111,TongariroNorthernCircuit,Red Crater,,175.651207,-39.134835,Feature,,,Andrew Evans,Okay
112,TongariroNorthernCircuit,Emerald Lakes,,175.655207,-39.132235,Feature,,-20,Andrew Evans,New coordinate
113,TongariroNorthernCircuit,Tongariro National Park Visitor Centre,,175.540207,-39.199836,VisitorCentre,,30,Andrew Evans,New coordinate
114,TongariroNorthernCircuit,Whakapapa Motor Camp,,175.540207,-39.201037,Campsite,,,Andrew Evans,Okay
115,TongariroNorthernCircuit,Ketetahi Roadend Shelter,,175.662206,-39.074334,Shelter,,,Andrew Evans,New coordinate
116,TongariroNorthernCircuit,Waihohonu Campsite,,175.683208,-39.208336,Campsite,,,Andrew Evans,Cannot locate
117,WhanganuiJourney,Ohinepane Campsite,,175.146203,-38.939834,Campsite,,,Andrew Evans,New coordinate
118,WhanganuiJourney,Poukaria Campsite,,175.120203,-38.990335,Campsite,,,Andrew Evans,New coordinate
119,WhanganuiJourney,Managpapa Campsite,,174.999204,-39.127738,Campsite,,,Andrew Evans,New coordinate
120,WhanganuiJourney,John Coull Campsite,,174.914205,-39.23124,Campsite,,,Andrew Evans,New coordinate
121,WhanganuiJourney,Maharanui Campsite,,175.045203,-39.071837,Campsite,,,Andrew Evans,New coordinate
122,WhanganuiJourney,Whakahoro Campsite,,175.071204,-39.107437,Campsite,,,Andrew Evans,New coordinate
123,WhanganuiJourney,Whakahoro Shelter,,175.070204,-39.107037,Shelter,,30,Andrew Evans,New coordinate
124,WhanganuiJourney,Ohauora Campsite,,174.959204,-39.169339,Campsite,,,Andrew Evans,New coordinate
125,WhanganuiJourney,John Coull Hut,,174.914205,-39.23094,Hut,,,Andrew Evans,New coordinate
126,WhanganuiJourney,Mangawaiiti Campsite,,174.905206,-39.28234,Campsite,,,Andrew Evans,New coordinate
127,WhanganuiJourney,Mangapurua Campsite,,174.967206,-39.27894,Campsite,-30,-30,Andrew Evans,New coordinate
128,WhanganuiJourney,Tieke Kainga Marae and Tieke Campsite,,174.993206,-39.33574,Camphut,,,Andrew Evans,New coordinate
129,WhanganuiJourney,Ngaporo Campsite,,175.036207,-39.423041,Campsite,,,Andrew Evans,New coordinate
130,WhanganuiJourney,Ohura Falls,,175.038203,-39.052937,Feature,,,Andrew Evans,Cannot locate
131,WhanganuiJourney,Managanui O Te Ao River,,175.047207,-39.401441,Feature,,,Andrew Evans,New coordinate
132,AbelTasmanCoastTrack,Wainui Carpark Shelter,,172.957169,-40.808148,Shelter,-30,-30,Andrew Evans,Cannot locate
133,AbelTasmanCoastTrack,Whariwharangi Hut,The historic homestead at Whariwharangi. Stay in an historic homestead  which is now a DOC hut,172.97417,-40.787248,Camphut,30,15,Andrew Evans,New coordinate
134,AbelTasmanCoastTrack,Mutton Cove Campsite,,172.99417,-40.789248,Campsite,,3,Andrew Evans,New coordinate
135,AbelTasmanCoastTrack,Anapai Campsite,,173.00417,-40.801049,Campsite,,,Andrew Evans,New coordinate
136,AbelTasmanCoastTrack,Totaranui Campsite,,173.004171,-40.820949,Campsite,,,Andrew Evans,Okay
137,AbelTasmanCoastTrack,Waiharakeke campsite,,173.016171,-40.84755,Campsite,,,Andrew Evans,New coordinate
138,AbelTasmanCoastTrack,Awaroa Hut and Campsite,,173.018171,-40.86345,Camphut,-20,,Andrew Evans,New coordinate
139,AbelTasmanCoastTrack,Onetahuti Beach Campsite,,173.047172,-40.887251,Campsite,20,,Andrew Evans,New coordinate
140,AbelTasmanCoastTrack,Bark Bay Hut,,173.049172,-40.914352,Camphut,5,5,Andrew Evans,New coordinate
141,AbelTasmanCoastTrack,Tonga Quarry Campsite,,173.051172,-40.892551,Campsite,10,10,Andrew Evans,New coordinate
142,AbelTasmanCoastTrack,Medlands Beach Campsite,,173.055172,-40.919152,Campsite,15,,Andrew Evans,New coordinate
143,AbelTasmanCoastTrack,Torrent Bay Village Campsite,,173.046172,-40.945753,Campsite,15,7,Andrew Evans,New coordinate
144,AbelTasmanCoastTrack,Te Puketea Campsite,,173.064172,-40.951453,Campsite,,-5,Andrew Evans,New coordinate
145,AbelTasmanCoastTrack,Anchorage Hut and Campsite,,173.060172,-40.954653,Camphut,-5,10,Andrew Evans,New coordinate
146,AbelTasmanCoastTrack,Watering Cove Campsite,,173.056172,-40.962053,Campsite,-25,-5,Andrew Evans,New coordinate
147,AbelTasmanCoastTrack,Akersten Bay Campsite,,173.047172,-40.970354,Campsite,,,Andrew Evans,New coordinate
148,AbelTasmanCoastTrack,Apple Tree Bay Campsite,,173.038172,-40.980554,Campsite,,,Andrew Evans,New coordinate
149,AbelTasmanCoastTrack,Tinline campsite,,173.025172,-40.986754,Campsite,15,-15,Andrew Evans,New coordinate
150,AbelTasmanCoastTrack,Marahau Roadend Information Shelter,,173.005171,-40.994254,Shelter,,-30,Andrew Evans,New coordinate
151,AbelTasmanCoastTrack,Adele Island,,173.060172,-40.977454,Feature,,,Andrew Evans,Okay
152,HeaphyTrack,Brown Hut and Brown River Campsite,,172.447161,-40.84845,Camphut,27,,Andrew Evans,New coordinate
153,HeaphyTrack,Aorere Shelter,,172.440161,-40.892752,Shelter,,-30,Andrew Evans,New coordinate
154,HeaphyTrack,Aorere Campsite,,172.439161,-40.893252,Campsite,,,Andrew Evans,New coordinate
155,HeaphyTrack,Lookout Point,,172.42116,-40.902552,Feature,,,Andrew Evans,New coordinate
156,HeaphyTrack,Perry Saddle Hut and Campsite,,172.40316,-40.899952,Camphut,,,Andrew Evans,New coordinate
157,HeaphyTrack,Gouland Downs Hut and Campsite,,172.35416,-40.889152,Camphut,,,Andrew Evans,New coordinate
158,HeaphyTrack,Saxon Hut and Campsite,,172.30916,-40.884851,Camphut,,,Andrew Evans,New coordinate
159,HeaphyTrack,James Mackay Hut and Campsite,,172.218159,-40.884051,Camphut,,,Andrew Evans,New coordinate
160,HeaphyTrack,Lewis Hut,,172.148158,-40.938452,Hut,,,Andrew Evans,New coordinate
161,HeaphyTrack,Katipo Creek Shelter,,172.107158,-41.042454,Shelter,,15,Andrew Evans,New coordinate
162,HeaphyTrack,Katipo Creek Campsite,,172.107158,-41.042354,Campsite,,-15,Andrew Evans,New coordinate
163,HeaphyTrack,Scotts Beach Campsite,,172.105158,-41.086655,Campsite,,-20,Andrew Evans,New coordinate
164,HeaphyTrack,Kohaihai Shelter,,172.103157,-41.106855,Shelter,,,Andrew Evans,New coordinate
